date,user,location,text
2022-03-16 15:15:11,usahockey,"Colorado Springs, Colo.","The team is back stateside and ready to celebrate with friends and family🎉🏅

#WinterParalympics | #TeamUSA🇺🇸 https://t.co/4DEQY5tkzX"
2022-03-16 14:46:41,GetKidsGoing,United Kingdom,We wanted to share this lovely photo of @Mennafitz  being welcomed home by her family at Heathrow after becoming th… https://t.co/yMeygrKCkU
2022-03-16 13:37:00,LondonVisionUK,"London, England","Enjoying the #WinterParalympics so far?
London Vision's Jonathan Ward competed at the Summer Paralympics, at the Se… https://t.co/3xBWUlSACO"
2022-03-16 13:35:15,georgyfelix,"Cochin, India","Checking in!

Behind the scenes of a spectacular #ParaIceHockey tournament at the #Beijing2022 #WinterParalympics.… https://t.co/0X96DxBtOl"
2022-03-16 13:00:01,Childrens_Trust,"Tadworth, Surrey, UK",We loved watching the #WinterParalympics last week – young people at The Children’s Trust celebrated the event with… https://t.co/4IkL66Nbia
2022-03-16 12:48:25,_ATscale,Geneva,"Absolutely outstanding! This is what is possible with #AssistiveTechnology

#Paralympians #Paralympic… https://t.co/2XE1hvlbLg"
2022-03-16 12:32:20,Nicole67718028,,.@OksanaMasters and @TeamUSA look to continue their momentum at the #WinterParalympics!Watch it on @USA_Network and… https://t.co/gcc2ksboK6
2022-03-16 12:30:00,Tsinghua_Uni,Beijing,"“@Beijing2022 set a good example for future host cities,” remarked IPC President Andrew Parson, commending the rigo… https://t.co/yqpQkx803F"
2022-03-16 12:02:23,DHorizons,,"We round up 8 extraordinary moments from the #Beijing2022ParalympicWinterGames, including 6 medals for #TeamGB, Aus… https://t.co/SaGOeIf8iA"
2022-03-16 09:56:22,TheLastPersont2,"London, UK","@StratcomCentre Get well soon sweet heart!

💙 💛 

Maybe one day you will win a medal in the #Paralympics   -… https://t.co/qfxGosEByb"
2022-03-16 09:05:12,Paralympics,,"The gold medal for the cutest welcome home goes to @stevearnold79 ❤️

#WinterParalympics 

https://t.co/UgbYwIRX9d"
2022-03-16 07:00:01,Tsinghua_Uni,Beijing,Congratulations to all athletes and volunteers for making @Beijing2022 a memorable display of sportsmanship and fri… https://t.co/0Mny21YPYg
2022-03-16 05:00:00,Tsinghua_Uni,Beijing,@Beijing2022 paid extra attention to accessibility and barrier-free facilities for everyone to feel safe and comfor… https://t.co/FBIyiMT8mp
2022-03-16 04:59:56,AUSParalympics,Australia,Mitchell Gourley has confirmed #Beijing2022 was his 4th and final #WinterParalympics. The 2017 #ParaAlpine skiing W… https://t.co/OEak02PQFd
2022-03-16 04:46:57,Demetrehunter23,Detroit Ml | Las vegas ,Para-sport: WA Multi-Sport Come %26 Try Day apr 20th 2022   #winterparalympics #olympics2022 #olympics winner 2022… https://t.co/2NiuPPhbX2
2022-03-16 04:44:57,Demetrehunter23,Detroit Ml | Las vegas ,U.S. Paralympics Cycling Open apr 8th 2022  #olympics #olympics2022 #WinterParalympics  👨‍🦽👨‍🦽👨‍🦽👨‍🦽👨‍🦽👨‍🦽👨‍🦽👨‍🦽👨‍🦽… https://t.co/MS0HCUjs1M
2022-03-16 04:44:14,Demetrehunter23,Detroit Ml | Las vegas ,2022 U.S Paralympics Cycling- Handcycle Relays apr 8th 2022  #olympics #olympics2022 #WinterParalympics  👨‍🦽👨‍🦽👨‍🦽… https://t.co/ooycmD86fx
2022-03-16 04:22:14,Oliver12273531,,The action from the #WinterParalympics continues tonight on the snow and ice! ❄️Watch @TeamUSA at 9P ET on Olympic… https://t.co/ilTqFTiTkp
2022-03-16 02:55:55,Chinacultureorg,Beijing,The Beijing #WinterParalympics concluded on Sunday. Here are some highlights to keep the memories alive.… https://t.co/xJlRuEsFin
2022-03-16 02:43:58,PWD_China,,"""I hope more people in my hometown, #Daxing district of Beijing, can pay attention to the #wheelchaircurling,"" said… https://t.co/OHLPZw7mYe"
2022-03-16 02:40:17,PWD_Beijing,,"""I hope more people in my hometown, #Daxing district of Beijing, can pay attention to the #wheelchaircurling,"" said… https://t.co/XRu2Jigrf3"
2022-03-16 02:35:55,JennHoffReports,"Minneapolis, MN","Congrats, @MonsterMike5 at the #WinterParalympics! 🥈#Beijing2022

You're such an inspiration. Those hugs from your… https://t.co/A8R5btEHxJ"
2022-03-16 02:19:21,Tsinghua_Uni,Beijing,"From torch relay, mobility in Village to athletes’ clothes, technological innovations could be seen everywhere at t… https://t.co/hm7JRAXxvt"
2022-03-16 01:54:12,aaaplayvic,Victoria,A huge congratulations to every member of the @AUSParalympics team for their amazing campaign at #Beijing2022! 💚💛… https://t.co/oSFNSGlFz7
2022-03-16 01:23:49,WoertherPE,"Ballwin, Missouri",Our #WoertherWings learned how to play a modified game of sled hockey. Congratulations to our @TeamUSA @usahockey f… https://t.co/Hzikcx1xG9
2022-03-15 23:59:02,mytoastlife,"Saskatchewan, Canada",Check out her story and 4 more inspiring moments from this year's Winter Paralympics that'll make you feel all warm… https://t.co/UgXHk98DHJ
2022-03-15 23:40:46,RehacareSH,"Shanghai, China",#RCSdailynews The 2022 #WinterParalympics plants a seed of an accessible society in all respects for people living… https://t.co/qwon4TQ9J8
2022-03-15 23:28:24,Miyuko_junsei,New York City,"War mayn’t be okay for #Ukraine️, however, they were second earning 29 medals at the #Beijing2022… https://t.co/QLuZxibFmG"
2022-03-15 23:16:03,POPSUGARFitness,"San Francisco, CA","#WinterParalympics moments from @bren_hucks, @OksanaMasters, Sheina Vaspi, and more. https://t.co/9xsusr5gCG"
2022-03-15 21:18:23,TeamUSA,,"Taking a lap because we're baaack 🙌 

#WinterParalympics https://t.co/ZughtO2gU4"
2022-03-15 20:53:13,laptoptravel,Follow My Blog,. @Delta celebrates the return of @TeamUSA  Paralympians in Salt Lake City from the @Paralympics Winter Games Beiji… https://t.co/3CvkO2BeWd
2022-03-15 20:48:17,TeamUSA,,"Reunited ❤️🤍💙

@bren_hucks x #WinterParalympics https://t.co/VA8ilP6pQK"
2022-03-15 20:04:47,DeltaNewsHub,Worldwide,. @Delta celebrates the return of @TeamUSA  Paralympians in Salt Lake City from the @Paralympics Winter Games Beiji… https://t.co/33ogmBkHFw
2022-03-15 20:01:22,TeamUSA,,"Feels great to be back in the States. 🇺🇸

#WinterParalympics https://t.co/4J0vlZf8Zi"
2022-03-15 20:00:00,Tsinghua_Uni,Beijing,"How exciting to see all breakthroughs made by Chinese athletes! Striving for excellence, they topped the medal tabl… https://t.co/Vjra943oMd"
2022-03-15 19:53:39,TeamUSA,,"Coming home a champ! 🥇

@LifeofaLW x #WinterParalympics https://t.co/p6bkZH8PsN"
2022-03-15 19:42:19,sammyridgers1,Somewhere :),So fucking proud of #TeamUSA and the #WinterParalympics
2022-03-15 19:27:25,TeamUSA,,".@USParaNordic is making strides in building up its standing team, with Sydney Peterson becoming the first standing… https://t.co/oC2jFjb6CC"
2022-03-15 19:09:07,moragmoog_teach,,"My girls were very excited about this when they came home.
Congratulations Callum!
@ParalympicsGB… https://t.co/bk0fQCxm8N"
2022-03-15 18:59:33,NBCOlympics,,"Champion status. 🥇 #WinterParalympics 

(via @spudsusa27) https://t.co/tlS8w5CEuM"
2022-03-15 18:46:29,GetKidsGoing,United Kingdom,We would like to give a huge congratulations to all of the Get Kids Going! supported athletes for their amazing ach… https://t.co/54A0x6ZjG7
2022-03-15 18:32:24,usahockey,"Colorado Springs, Colo.","A family through and through.

#WinterParalympics | #TeamUSA🇺🇸 https://t.co/4slVEaARCC"
2022-03-15 18:15:00,TAG24_NEWS,New York City,"The 2022 #WinterParalympics came to an end Sunday, putting an end to a largely successful event for #TeamUSA.… https://t.co/GHTepCHOJF"
2022-03-15 18:00:00,ChinaCGCalgary,,Highlights of the closing ceremony of #Beijing2022 #WinterParalympics.  @SpokespersonCHN @MFA_China @ctvnews… https://t.co/ADg1iOAa1J
2022-03-15 17:48:10,BazeeraFathima,"India, UAE",@Paralympics @IDA_CRPD_Forum Wow. Paralympics have now been upgraded to another level. With China close to becoming… https://t.co/6w5bB1XDrw
