date,user,location,text
2022-03-16 15:15:11,usahockey,"Colorado Springs, Colo.",the team is back stateside and ready to celebrate with friends and family:party_popper::sports_medal:#winterparalympics | #teamusa:United_States: 
2022-03-16 14:46:41,GetKidsGoing,United Kingdom,we wanted to share this lovely photo of @mennafitz  being welcomed home by her family at heathrow after becoming th  
2022-03-16 13:37:00,LondonVisionUK,"London, England",enjoying the #winterparalympics so far london vision's jonathan ward competed at the summer paralympics  at the se  
2022-03-16 13:35:15,georgyfelix,"Cochin, India",checking in behind the scenes of a spectacular #paraicehockey tournament at the #beijing2022 #winterparalympics.  
2022-03-16 13:00:01,Childrens_Trust,"Tadworth, Surrey, UK",we loved watching the #winterparalympics last week – young people at the children’s trust celebrated the event with  
2022-03-16 12:48:25,_ATscale,Geneva,absolutely outstanding  this is what is possible with #assistivetechnology#paralympians #paralympic  
2022-03-16 12:32:20,Nicole67718028,,.@oksanamasters and @teamusa look to continue their momentum at the #winterparalympics watch it on @usa_network and  
2022-03-16 12:30:00,Tsinghua_Uni,Beijing,“@beijing2022 set a good example for future host cities ” remarked ipc president andrew parson  commending the rigo  
2022-03-16 12:02:23,DHorizons,,we round up 8 extraordinary moments from the #beijing2022paralympicwintergames  including 6 medals for #teamgb  aus  
2022-03-16 09:56:22,TheLastPersont2,"London, UK",@stratcomcentre get well soon sweet heart :blue_heart: :yellow_heart: maybe one day you will win a medal in the #paralympics   -  
2022-03-16 09:05:12,Paralympics,,the gold medal for the cutest welcome home goes to @stevearnold79 :red_heart:#winterparalympics 
2022-03-16 07:00:01,Tsinghua_Uni,Beijing,congratulations to all athletes and volunteers for making @beijing2022 a memorable display of sportsmanship and fri  
2022-03-16 05:00:00,Tsinghua_Uni,Beijing,@beijing2022 paid extra attention to accessibility and barrier-free facilities for everyone to feel safe and comfor  
2022-03-16 04:59:56,AUSParalympics,Australia,mitchell gourley has confirmed #beijing2022 was his 4th and final #winterparalympics. the 2017 #paraalpine skiing w  
2022-03-16 04:46:57,Demetrehunter23,Detroit Ml | Las vegas ,para-sport: wa multi-sport come %26 try day apr 20th 2022   #winterparalympics #olympics2022 #olympics winner 2022  
2022-03-16 04:44:57,Demetrehunter23,Detroit Ml | Las vegas ,u.s. paralympics cycling open apr 8th 2022  #olympics #olympics2022 #winterparalympics  :man_in_manual_wheelchair::man_in_manual_wheelchair::man_in_manual_wheelchair::man_in_manual_wheelchair::man_in_manual_wheelchair::man_in_manual_wheelchair::man_in_manual_wheelchair::man_in_manual_wheelchair::man_in_manual_wheelchair:  
2022-03-16 04:44:14,Demetrehunter23,Detroit Ml | Las vegas ,2022 u.s paralympics cycling- handcycle relays apr 8th 2022  #olympics #olympics2022 #winterparalympics  :man_in_manual_wheelchair::man_in_manual_wheelchair::man_in_manual_wheelchair:  
2022-03-16 04:22:14,Oliver12273531,,the action from the #winterparalympics continues tonight on the snow and ice  :snowflake:watch @teamusa at 9p et on olympic  
2022-03-16 02:55:55,Chinacultureorg,Beijing,the beijing #winterparalympics concluded on sunday. here are some highlights to keep the memories alive.  
2022-03-16 02:43:58,PWD_China,,"""i hope more people in my hometown  #daxing district of beijing  can pay attention to the #wheelchaircurling "" said  "
2022-03-16 02:40:17,PWD_Beijing,,"""i hope more people in my hometown  #daxing district of beijing  can pay attention to the #wheelchaircurling "" said  "
2022-03-16 02:35:55,JennHoffReports,"Minneapolis, MN",congrats  @monstermike5 at the #winterparalympics  :2nd_place_medal:#beijing2022you're such an inspiration. those hugs from your  
2022-03-16 02:19:21,Tsinghua_Uni,Beijing,from torch relay  mobility in village to athletes’ clothes  technological innovations could be seen everywhere at t  
2022-03-16 01:54:12,aaaplayvic,Victoria,a huge congratulations to every member of the @ausparalympics team for their amazing campaign at #beijing2022  :green_heart::yellow_heart:  
2022-03-16 01:23:49,WoertherPE,"Ballwin, Missouri",our #woertherwings learned how to play a modified game of sled hockey. congratulations to our @teamusa @usahockey f  
2022-03-15 23:59:02,mytoastlife,"Saskatchewan, Canada",check out her story and 4 more inspiring moments from this year's winter paralympics that'll make you feel all warm  
2022-03-15 23:40:46,RehacareSH,"Shanghai, China",#rcsdailynews the 2022 #winterparalympics plants a seed of an accessible society in all respects for people living  
2022-03-15 23:28:24,Miyuko_junsei,New York City,war mayn’t be okay for #ukraine  however  they were second earning 29 medals at the #beijing2022  
2022-03-15 23:16:03,POPSUGARFitness,"San Francisco, CA",#winterparalympics moments from @bren_hucks  @oksanamasters  sheina vaspi  and more. 
2022-03-15 21:18:23,TeamUSA,,taking a lap because we're baaack :raising_hands: #winterparalympics 
2022-03-15 20:53:13,laptoptravel,Follow My Blog,. @delta celebrates the return of @teamusa  paralympians in salt lake city from the @paralympics winter games beiji  
2022-03-15 20:48:17,TeamUSA,,reunited :red_heart::white_heart::blue_heart:@bren_hucks x #winterparalympics 
2022-03-15 20:04:47,DeltaNewsHub,Worldwide,. @delta celebrates the return of @teamusa  paralympians in salt lake city from the @paralympics winter games beiji  
2022-03-15 20:01:22,TeamUSA,,feels great to be back in the states. :United_States:#winterparalympics 
2022-03-15 20:00:00,Tsinghua_Uni,Beijing,how exciting to see all breakthroughs made by chinese athletes  striving for excellence  they topped the medal tabl  
2022-03-15 19:53:39,TeamUSA,,coming home a champ  :1st_place_medal:@lifeofalw x #winterparalympics 
2022-03-15 19:42:19,sammyridgers1,Somewhere :),so fucking proud of #teamusa and the #winterparalympics
2022-03-15 19:27:25,TeamUSA,,.@usparanordic is making strides in building up its standing team  with sydney peterson becoming the first standing  
2022-03-15 19:09:07,moragmoog_teach,,my girls were very excited about this when they came home.congratulations callum @paralympicsgb  
2022-03-15 18:59:33,NBCOlympics,,champion status. :1st_place_medal: #winterparalympics (via @spudsusa27) 
2022-03-15 18:46:29,GetKidsGoing,United Kingdom,we would like to give a huge congratulations to all of the get kids going  supported athletes for their amazing ach  
2022-03-15 18:32:24,usahockey,"Colorado Springs, Colo.",a family through and through.#winterparalympics | #teamusa:United_States: 
2022-03-15 18:15:00,TAG24_NEWS,New York City,the 2022 #winterparalympics came to an end sunday  putting an end to a largely successful event for #teamusa.  
2022-03-15 18:00:00,ChinaCGCalgary,,highlights of the closing ceremony of #beijing2022 #winterparalympics.  @spokespersonchn @mfa_china @ctvnews  
2022-03-15 17:48:10,BazeeraFathima,"India, UAE",@paralympics @ida_crpd_forum wow. paralympics have now been upgraded to another level. with china close to becoming  
2022-03-15 17:16:37,michaellondra,"Wexford, Ireland",making me bawl over my lunch. #winterolympics #winterparalympics 
2022-03-15 16:50:24,ParaHeritage,"Stoke Mandeville, England",spaces are booking up quickly for our #meettheparalympian event with paralympic cross-country skier mike brace cbe   
2022-03-15 16:31:14,NBCOlympics,,from historic wins to the most paw-fect medal ceremony  here are some of the top moments from the 2022  
2022-03-15 16:30:50,Paralympics,,#beijing2022 is now part of the history of the #winterparalympics :red_heart::blue_heart::green_heart: 
2022-03-15 16:29:46,RyanHills27,"Bonn, Germany",beijing  you were an absolute pleasure. #winterparalympics 
2022-03-15 15:30:19,usahockey,"Colorado Springs, Colo.",.@spudsusa27 - the most decorated sled hockey player in paralympic history:1st_place_medal:#winterparalympics | #teamusa:United_States: 
2022-03-15 15:26:17,FourBlock,,congratulations to #fourblock alumnus &amp; @usmc veteran @mrbenjaminboom &amp; the u.s. national sled hockey team for winn  
2022-03-15 15:21:29,Mediatree_en,Paris,:snowflake::skier: #france comes 4th in the rankings of the 2022 #winterparalympics which ended sunday  with 7 gold medals to its  
2022-03-15 15:05:19,USOPC_AAC,,welcome home to our athlete reps  @brittanicoury of @usparasnowboard &amp; @6dfarmer of @usahockey :double_exclamation_mark: we greatly apprec  
2022-03-15 15:00:00,SportsGazette,"Twickenham, London",winter sports and china  do they really belong together at the #winterparalympics they surprisingly took first pl  
2022-03-15 14:47:58,LFCDogGuides,"Oakville, ON",a touching moment between austrian paralympian carina edlinger and her guide dog riley. this heartwarming moment sh  
2022-03-15 14:07:02,Quicktake,,:Ukraine: ukraine finished 2nd behind china at the #beijing2022 #winterparalympics. now the team returns home to war with  
2022-03-15 13:43:24,HuseynliShafag,Azerbaijan,back home with rhon rhon :airplane:#winterparalympics 
2022-03-15 13:09:38,ElissaCPA,"Denton, TX",team usa  team toyota’s rico roman wins third paralympic medal at paralympic winter games #winterparalympics  
2022-03-15 13:09:28,ElissaCPA,"Denton, TX",team toyota usa 2022 winter paralympics medal count - march 14 #teamtoyota #winterparalympics  
2022-03-15 12:01:33,webasedlearning,,what a game  :clapping_hands: congratulations to #teampanasonic’s @tylermcgregor08 and his team for taking the silver in para sled  
2022-03-15 12:00:02,SportsGazette,"Twickenham, London",the #winterparalympics ended on sunday and what remains in the memory is the outstanding performance of the ukraini  
2022-03-15 11:18:54,SportscoolC,Cheshire,well done to @teamgb and @paralympicsgb in your performances in the #winterparalympics and #winterolympics you made  
2022-03-15 10:33:18,NewhamSsp,Newham london,in @rosettaprimary with y2/3 delivering @youthsporttrust inclusive sports festival #winterparalympics lots of fun &amp;  
2022-03-15 08:50:05,Paralympics,,complete this sentence. my favourite performance at the #winterparalympics was... 
